product_id,name,picture,discription,price
1001,Laptop,Laptop.jpg,minha_descricao,1000
1035,Gaming Laptop,Gaming Laptop.jpg,minha_descricao,2000
1024,Gaming Keyboard,Gaming Keyboard.jpg,minha_descricao,100
1018,Digital Camera,Digital Camera.jpg,minha_descricao,500
1038,Fitness Band,Fitness Band.jpg,minha_descricao,100
1011,Monitor,Monitor.jpg,minha_descricao,500
1033,Mechanical Keyboard,Mechanical Keyboard.jpg,minha_descricao,100
1002,Smartphone,Smartphone.jpg,minha_descricao,800
1016,Drone,Drone.jpg,minha_descricao,1000
1007,Printer,Printer.jpg,minha_descricao,300
1015,Power Bank,Power Bank.jpg,minha_descricao,30
1016,Drone,Drone.jpg,minha_descricao,1000
1013,Fitness Tracker,Fitness Tracker.jpg,minha_descricao,200
1034,Gaming Monitor,Gaming Monitor.jpg,minha_descricao,500
1001,Laptop,Laptop.jpg,minha_descricao,1000
1007,Printer,Printer.jpg,minha_descricao,300
1003,Headphones,Headphones.jpg,minha_descricao,200
1026,Fitness Watch,Fitness Watch.jpg,minha_descricao,200
1034,Gaming Monitor,Gaming Monitor.jpg,minha_descricao,500
1022,Action Camera,Action Camera.jpg,minha_descricao,400
1027,Bluetooth Earbuds,Bluetooth Earbuds.jpg,minha_descricao,100
1019,Soundbar,Soundbar.jpg,minha_descricao,200
1019,Soundbar,Soundbar.jpg,minha_descricao,200
1011,Monitor,Monitor.jpg,minha_descricao,500
1021,External SSD,External SSD.jpg,minha_descricao,200
1029,Smart Home Speaker,Smart Home Speaker.jpg,minha_descricao,200
1036,SSD Drive,SSD Drive.jpg,minha_descricao,200
1025,Graphics Card,Graphics Card.jpg,minha_descricao,800
1002,Smartphone,Smartphone.jpg,minha_descricao,800
1026,Fitness Watch,Fitness Watch.jpg,minha_descricao,200
1038,Fitness Band,Fitness Band.jpg,minha_descricao,100
1022,Action Camera,Action Camera.jpg,minha_descricao,400
1010,Keyboard,Keyboard.jpg,minha_descricao,100
1017,Virtual Reality Headset,Virtual Reality Headset.jpg,minha_descricao,800
1015,Power Bank,Power Bank.jpg,minha_descricao,30
1032,Gaming Chair,Gaming Chair.jpg,minha_descricao,400
1038,Fitness Band,Fitness Band.jpg,minha_descricao,100
1040,Portable SSD,Portable SSD.jpg,minha_descricao,200
1002,Smartphone,Smartphone.jpg,minha_descricao,800
1036,SSD Drive,SSD Drive.jpg,minha_descricao,200
1019,Soundbar,Soundbar.jpg,minha_descricao,200
1014,Bluetooth Speaker,Bluetooth Speaker.jpg,minha_descricao,100
1010,Keyboard,Keyboard.jpg,minha_descricao,100
1032,Gaming Chair,Gaming Chair.jpg,minha_descricao,400
1039,Gaming Headset,Gaming Headset.jpg,minha_descricao,200
1040,Portable SSD,Portable SSD.jpg,minha_descricao,200
1022,Action Camera,Action Camera.jpg,minha_descricao,400
1030,Portable Projector,Portable Projector.jpg,minha_descricao,800
1022,Action Camera,Action Camera.jpg,minha_descricao,400
1034,Gaming Monitor,Gaming Monitor.jpg,minha_descricao,500
1025,Graphics Card,Graphics Card.jpg,minha_descricao,800
1012,Gaming Console,Gaming Console.jpg,minha_descricao,400
1038,Fitness Band,Fitness Band.jpg,minha_descricao,100
1015,Power Bank,Power Bank.jpg,minha_descricao,30
1026,Fitness Watch,Fitness Watch.jpg,minha_descricao,200
1008,External Hard Drive,External Hard Drive.jpg,minha_descricao,200
1006,Camera,Camera.jpg,minha_descricao,1000
1001,Laptop,Laptop.jpg,minha_descricao,1000
1010,Keyboard,Keyboard.jpg,minha_descricao,100
1039,Gaming Headset,Gaming Headset.jpg,minha_descricao,200
